IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
154.3.37.27,9004,TRUE,SIN,SG,Asia Pacific,Singapore,906,DMIT,309,15.06
103.117.102.87,56404,TRUE,NRT,JP,Asia Pacific,Tokyo,906,DMIT,249,10.23
154.17.26.219,31480,TRUE,LAX,US,North America,Los Angeles,906,DMIT,710,4.74
154.17.19.203,2008,TRUE,LAX,US,North America,Los Angeles,906,DMIT,647,4.72
154.17.26.175,8443,TRUE,LAX,US,North America,Los Angeles,906,DMIT,739,4.45
154.17.6.196,51297,TRUE,LAX,US,North America,Los Angeles,906,DMIT,739,3.86
154.17.11.13,53088,TRUE,LAX,US,North America,Los Angeles,906,DMIT,726,3.64
154.17.6.131,12807,TRUE,LAX,US,North America,Los Angeles,906,DMIT,664,3.62
154.17.14.234,21244,TRUE,LAX,US,North America,Los Angeles,906,DMIT,624,3.58
154.17.26.125,33133,TRUE,LAX,US,North America,Los Angeles,906,DMIT,761,3.46
154.17.13.95,8443,TRUE,LAX,US,North America,Los Angeles,906,DMIT,639,3.45
154.17.19.153,34745,TRUE,LAX,US,North America,Los Angeles,906,DMIT,739,3.40
154.17.4.191,35378,TRUE,LAX,US,North America,Los Angeles,906,DMIT,645,3.34
154.17.6.131,12814,TRUE,LAX,US,North America,Los Angeles,906,DMIT,611,3.32
154.17.11.211,32939,TRUE,LAX,US,North America,Los Angeles,906,DMIT,609,3.15
154.17.14.234,50082,TRUE,LAX,US,North America,Los Angeles,906,DMIT,659,3.07
154.17.16.224,16254,TRUE,LAX,US,North America,Los Angeles,906,DMIT,609,3.03
154.17.2.103,10740,TRUE,LAX,US,North America,Los Angeles,906,DMIT,709,2.93
154.17.2.191,14604,TRUE,LAX,US,North America,Los Angeles,906,DMIT,673,2.83
154.17.25.205,49997,TRUE,LAX,US,North America,Los Angeles,906,DMIT,601,2.77
65.75.193.13,24245,TRUE,SJC,US,North America,San Jose,906,DMIT,769,2.65
154.17.2.49,26558,TRUE,LAX,US,North America,Los Angeles,906,DMIT,608,2.62
65.75.195.142,8443,TRUE,SJC,US,North America,San Jose,906,DMIT,962,2.56
154.17.12.6,28866,TRUE,LAX,US,North America,Los Angeles,906,DMIT,652,2.50
154.17.29.80,50235,TRUE,LAX,US,North America,Los Angeles,906,DMIT,616,2.40
136.175.176.49,20443,TRUE,SJC,US,North America,San Jose,906,DMIT,779,2.28
65.75.194.109,20443,TRUE,SJC,US,North America,San Jose,906,DMIT,770,2.16
154.17.14.234,21017,TRUE,LAX,US,North America,Los Angeles,906,DMIT,629,2.11
65.75.195.188,50795,TRUE,SJC,US,North America,San Jose,906,DMIT,761,2.09
154.17.9.116,2053,TRUE,LAX,US,North America,Los Angeles,906,DMIT,606,1.71
174.136.205.41,50008,TRUE,SJC,US,North America,San Jose,906,DMIT,731,1.70
65.75.195.188,48389,TRUE,SJC,US,North America,San Jose,906,DMIT,714,1.65
65.75.193.187,34237,TRUE,SJC,US,North America,San Jose,906,DMIT,741,1.52
154.17.26.175,3283,TRUE,LAX,US,North America,Los Angeles,906,DMIT,647,1.44
65.75.195.188,40382,TRUE,SJC,US,North America,San Jose,906,DMIT,742,1.17
65.75.193.107,443,TRUE,SJC,US,North America,San Jose,906,DMIT,766,1.06
65.75.193.107,1800,TRUE,SJC,US,North America,San Jose,906,DMIT,781,1.06
154.17.3.181,51053,TRUE,LAX,US,North America,Los Angeles,906,DMIT,684,0.92
65.75.193.13,51144,TRUE,SJC,US,North America,San Jose,906,DMIT,775,0.67
154.17.2.103,10140,TRUE,LAX,US,North America,Los Angeles,906,DMIT,689,0.64
154.17.6.196,59603,TRUE,LAX,US,North America,Los Angeles,906,DMIT,555,0.60
154.17.26.209,5532,TRUE,LAX,US,North America,Los Angeles,906,DMIT,589,0.39
154.17.12.6,53484,TRUE,LAX,US,North America,Los Angeles,906,DMIT,685,0.37
174.136.205.41,50009,TRUE,SJC,US,North America,San Jose,906,DMIT,709,0.29
154.17.31.217,37976,TRUE,LAX,US,North America,Los Angeles,906,DMIT,612,0.29
154.17.8.153,46998,TRUE,LAX,US,North America,Los Angeles,906,DMIT,624,0.27
