IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
129.154.206.254,59158,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,228,14.41
146.56.145.38,50001,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,508,11.46
119.56.214.83,37662,TRUE,HKG,HK,Asia Pacific,Hong Kong,9981,Saero Network Service LTD,520,9.57
175.125.207.253,38520,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,303,7.76
49.142.67.158,38277,TRUE,HKG,HK,Asia Pacific,Hong Kong,9762,HYUNDAI COMMUNICATIONS NETWORK,409,7.54
112.72.215.244,38179,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,379,7.39
117.123.27.126,38280,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,315,7.17
121.170.103.123,38520,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,404,7.08
60.253.63.2,38839,TRUE,HKG,HK,Asia Pacific,Hong Kong,9981,Saero Network Service LTD,620,7.08
111.118.49.4,39507,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,370,6.80
115.69.100.114,38363,TRUE,ICN,KR,Asia Pacific,Seoul,7623,Gyeongbuk Cable TV,240,6.77
117.123.27.126,39516,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,547,6.77
113.130.211.247,39917,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,542,6.60
119.75.77.105,38749,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,377,6.60
115.40.161.146,37535,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,388,6.58
49.142.116.23,38226,TRUE,ICN,KR,Asia Pacific,Seoul,7623,Gyeongbuk Cable TV,236,6.52
117.123.27.126,37271,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,307,6.50
49.143.121.123,38177,TRUE,HKG,HK,Asia Pacific,Hong Kong,9319,HCN CHUNGBUK CABLE TV SYSTEMS,468,6.44
112.72.151.53,50023,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,326,6.38
49.142.238.207,38467,TRUE,ICN,KR,Asia Pacific,Seoul,7623,Gyeongbuk Cable TV,331,6.37
210.90.151.247,39001,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,367,6.26
117.123.27.126,37809,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,328,6.24
1.176.166.137,38591,TRUE,ICN,KR,Asia Pacific,Seoul,10066,LG HelloVision Corp.,383,6.24
115.40.161.146,38527,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,362,6.23
115.40.161.146,39208,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,478,6.21
132.226.170.51,49057,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,306,6.20
1.176.130.28,37553,TRUE,ICN,KR,Asia Pacific,Seoul,10066,LG HelloVision Corp.,385,6.07
117.123.27.126,37462,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,353,6.03
115.41.79.96,37717,TRUE,ICN,KR,Asia Pacific,Seoul,10066,LG HelloVision Corp.,396,6.02
110.46.14.124,39860,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,493,5.98
1.176.166.137,38759,TRUE,ICN,KR,Asia Pacific,Seoul,10066,LG HelloVision Corp.,394,5.92
61.251.5.249,38191,TRUE,ICN,KR,Asia Pacific,Seoul,38684,"CMB Daejeon Broadcasting Co,.Ltd",370,5.91
121.54.202.199,38787,TRUE,ICN,KR,Asia Pacific,Seoul,17577,LG HelloVision Corp.,372,5.86
1.176.38.6,39582,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,541,5.84
119.75.77.105,38627,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,369,5.83
115.40.161.146,37806,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,392,5.82
183.101.8.97,37810,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,330,5.76
112.72.178.22,37421,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,289,5.72
49.142.234.35,39469,TRUE,ICN,KR,Asia Pacific,Seoul,7623,Gyeongbuk Cable TV,336,5.68
61.251.253.130,50033,TRUE,ICN,KR,Asia Pacific,Seoul,9689,SK Broadband Co Ltd,340,5.63
59.2.231.161,37779,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,428,5.60
115.40.161.146,38809,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,571,5.59
119.75.77.105,38967,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,495,5.58
110.46.14.124,39322,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,518,5.56
115.40.28.225,38421,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,369,5.54
1.176.166.137,38083,TRUE,ICN,KR,Asia Pacific,Seoul,10066,LG HelloVision Corp.,377,5.53
1.176.38.6,37552,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,375,5.52
1.176.166.137,37995,TRUE,ICN,KR,Asia Pacific,Seoul,10066,LG HelloVision Corp.,390,5.50
1.176.38.6,39880,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,470,5.50
115.69.100.114,37981,TRUE,ICN,KR,Asia Pacific,Seoul,7623,Gyeongbuk Cable TV,247,5.50
118.91.7.206,38335,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,293,5.48
115.69.100.114,39922,TRUE,ICN,KR,Asia Pacific,Seoul,7623,Gyeongbuk Cable TV,306,5.45
114.129.192.41,39108,TRUE,ICN,KR,Asia Pacific,Seoul,9981,Saero Network Service LTD,367,5.43
211.237.82.127,38702,TRUE,ICN,KR,Asia Pacific,Seoul,38684,"CMB Daejeon Broadcasting Co,.Ltd",353,5.39
110.46.14.124,38479,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,429,5.38
115.40.161.146,38696,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,394,5.38
211.116.120.72,50033,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,349,5.37
115.40.161.146,37278,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,384,5.37
115.69.100.114,37280,TRUE,ICN,KR,Asia Pacific,Seoul,7623,Gyeongbuk Cable TV,340,5.30
211.237.82.127,38527,TRUE,ICN,KR,Asia Pacific,Seoul,38684,"CMB Daejeon Broadcasting Co,.Ltd",405,5.29
1.176.38.6,38732,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,367,5.27
120.50.74.59,50024,TRUE,ICN,KR,Asia Pacific,Seoul,9762,HYUNDAI COMMUNICATIONS NETWORK,353,5.27
49.143.121.123,50023,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,398,5.24
115.41.79.96,37548,TRUE,ICN,KR,Asia Pacific,Seoul,10066,LG HelloVision Corp.,388,5.21
110.46.14.124,37539,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,379,5.17
49.143.123.158,38362,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,221,5.15
115.40.191.214,39057,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,411,5.14
1.176.166.137,38737,TRUE,ICN,KR,Asia Pacific,Seoul,10066,LG HelloVision Corp.,385,5.12
49.142.147.27,38907,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,395,5.10
115.69.100.114,37288,TRUE,ICN,KR,Asia Pacific,Seoul,7623,Gyeongbuk Cable TV,362,5.03
117.123.27.126,39744,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,342,5.01
115.40.161.146,39029,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,511,5.00
123.248.60.248,37758,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,391,4.99
114.129.218.8,37960,TRUE,ICN,KR,Asia Pacific,Seoul,9981,Saero Network Service LTD,290,4.93
111.118.37.9,38496,TRUE,ICN,KR,Asia Pacific,Seoul,9762,HYUNDAI COMMUNICATIONS NETWORK,724,4.92
123.199.14.188,50000,TRUE,ICN,KR,Asia Pacific,Seoul,10066,LG HelloVision Corp.,496,4.89
61.251.5.249,38369,TRUE,ICN,KR,Asia Pacific,Seoul,38684,"CMB Daejeon Broadcasting Co,.Ltd",359,4.89
180.182.246.112,39351,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,563,4.88
115.69.100.114,37768,TRUE,ICN,KR,Asia Pacific,Seoul,7623,Gyeongbuk Cable TV,274,4.85
115.69.100.114,39483,TRUE,ICN,KR,Asia Pacific,Seoul,7623,Gyeongbuk Cable TV,354,4.84
1.176.166.137,38469,TRUE,ICN,KR,Asia Pacific,Seoul,10066,LG HelloVision Corp.,382,4.83
49.142.238.207,38925,TRUE,ICN,KR,Asia Pacific,Seoul,7623,Gyeongbuk Cable TV,353,4.79
114.129.192.41,38880,TRUE,ICN,KR,Asia Pacific,Seoul,9981,Saero Network Service LTD,343,4.77
49.142.238.207,38172,TRUE,ICN,KR,Asia Pacific,Seoul,7623,Gyeongbuk Cable TV,322,4.68
211.197.26.25,38080,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,353,4.66
211.197.116.90,38080,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,362,4.59
115.40.161.146,38516,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,391,4.53
49.142.246.207,37453,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,285,4.43
115.40.161.146,38896,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,457,4.43
49.142.67.158,37303,TRUE,ICN,KR,Asia Pacific,Seoul,9762,HYUNDAI COMMUNICATIONS NETWORK,228,4.39
115.40.161.146,39726,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,517,4.36
123.199.14.188,39432,TRUE,ICN,KR,Asia Pacific,Seoul,10066,LG HelloVision Corp.,637,4.35
122.199.85.200,50030,TRUE,ICN,KR,Asia Pacific,Seoul,9981,Saero Network Service LTD,269,4.27
122.199.106.94,45014,TRUE,ICN,KR,Asia Pacific,Seoul,9981,Saero Network Service LTD,335,4.14
130.162.152.253,50000,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,303,4.10
118.91.7.206,39567,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,607,3.93
1.176.166.137,39414,TRUE,ICN,KR,Asia Pacific,Seoul,10066,LG HelloVision Corp.,410,3.92
59.151.247.76,37764,TRUE,ICN,KR,Asia Pacific,Seoul,9981,Saero Network Service LTD,257,3.91
59.187.232.237,50027,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,208,3.75
110.46.56.20,39189,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,414,3.74
119.75.77.105,38618,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,356,3.67
131.186.19.77,40693,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,281,3.65
121.54.202.199,37390,TRUE,ICN,KR,Asia Pacific,Seoul,17577,LG HelloVision Corp.,353,3.61
61.251.5.249,38873,TRUE,ICN,KR,Asia Pacific,Seoul,38684,"CMB Daejeon Broadcasting Co,.Ltd",474,3.55
49.142.238.207,38400,TRUE,ICN,KR,Asia Pacific,Seoul,7623,Gyeongbuk Cable TV,317,3.49
49.142.238.207,39226,TRUE,ICN,KR,Asia Pacific,Seoul,7623,Gyeongbuk Cable TV,760,3.40
49.142.246.207,38809,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,343,3.29
117.123.27.126,37317,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,320,3.12
118.91.7.206,37630,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,254,3.01
59.151.247.76,38534,TRUE,ICN,KR,Asia Pacific,Seoul,9981,Saero Network Service LTD,239,2.95
61.247.93.38,38515,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,390,2.91
61.247.93.38,39553,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,478,2.85
61.247.93.38,37843,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,395,2.85
61.247.93.38,37369,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,388,2.83
61.247.93.38,39919,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,445,2.81
61.247.93.38,38424,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,380,2.77
61.247.93.38,37467,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,381,2.60
117.123.27.126,38914,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,411,2.57
61.247.93.38,39743,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,572,2.57
1.177.221.77,50023,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,530,2.56
146.56.161.141,45593,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,290,2.55
61.247.93.38,39185,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,546,2.51
61.247.93.38,39612,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,515,2.50
115.40.161.146,39786,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,497,2.38
61.247.93.38,38605,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,396,2.30
61.247.93.38,38768,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,404,2.26
114.129.225.64,38442,TRUE,HKG,HK,Asia Pacific,Hong Kong,9981,Saero Network Service LTD,517,2.16
59.151.247.76,39956,TRUE,ICN,KR,Asia Pacific,Seoul,9981,Saero Network Service LTD,280,2.08
49.142.246.207,39452,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,319,2.04
113.60.39.177,39522,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,613,1.86
123.109.113.45,37646,TRUE,ICN,KR,Asia Pacific,Seoul,9689,SK Broadband Co Ltd,378,1.86
113.60.39.177,39538,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,548,1.83
