IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
220.135.84.4,39013,TRUE,KIX,JP,Asia Pacific,Osaka,3462,Data Communication Business Group,408,7.87
125.229.230.180,39779,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,543,6.57
220.135.84.4,38910,TRUE,KIX,JP,Asia Pacific,Osaka,3462,Data Communication Business Group,423,5.80
220.135.84.4,38340,TRUE,KIX,JP,Asia Pacific,Osaka,3462,Data Communication Business Group,415,5.78
118.163.128.81,39491,TRUE,HKG,HK,Asia Pacific,Hong Kong,3462,Data Communication Business Group,416,4.79
154.17.31.217,37976,TRUE,LAX,US,North America,Los Angeles,906,DMIT,496,3.09
218.159.46.248,38545,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,712,2.50
5.253.16.176,50074,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,793,2.47
8.210.130.11,47806,TRUE,LAX,US,North America,Los Angeles,45102,"Alibaba US Technology Co., Ltd.",811,2.40
119.201.141.242,39755,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,711,2.38
175.204.247.48,39238,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,743,2.32
112.164.185.34,39196,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,751,2.30
218.150.169.129,38701,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,819,2.25
59.24.92.220,38027,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,761,2.24
211.251.204.117,37930,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,702,2.19
175.215.82.175,38917,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,732,2.16
220.89.140.11,39433,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,719,2.13
211.51.185.137,39588,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,743,2.10
211.114.223.43,38619,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,810,2.10
154.17.4.180,45956,TRUE,LAX,US,North America,Los Angeles,906,DMIT,544,2.09
