IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
152.70.239.189,42984,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,394,25.95
45.66.128.148,48388,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,337,22.30
130.162.155.205,45742,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,443,21.53
147.78.243.164,57391,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,355,20.63
147.78.247.110,50013,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,459,20.16
45.149.156.48,50013,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,627,19.09
38.47.110.79,49200,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,378,18.94
45.66.130.4,42221,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,285,18.80
38.47.111.79,44729,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,694,18.48
38.47.96.138,39300,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,254,16.97
45.66.128.148,48792,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,291,16.74
167.88.185.60,41847,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,264,16.69
45.66.217.121,59597,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,311,16.68
129.154.212.181,44699,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,308,16.39
62.106.70.89,40184,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,278,16.32
147.78.243.121,50114,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,307,16.17
109.107.137.22,44004,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,298,15.57
152.70.253.130,61153,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,699,15.49
152.70.246.67,45696,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,643,15.12
147.78.247.212,51722,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,368,15.10
45.66.128.148,47998,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,295,14.62
